Lp;Time;Alligator;Sila bykow;Sila niedzwiedzi;CCI;Demarker;RSI;Oscylator Stochastyczny;Williams;Klasa
1;2012.8.1.15;0.0025;-0.00025;0.00125;57.5;0.525;57;51;-47;WAIT
2;2012.8.1.16;0.0025;-0.00125;0.00225;7.5;0.505;49;47;-69;WAIT
3;2012.8.1.17;0.0015;-0.00125;0.00025;-67.5;0.545;49;43;-75;WAIT
4;2012.8.1.18;0.0015;-0.00125;0.00025;-77.5;0.515;49;33;-71;SELL
5;2012.8.1.19;0.0015;-0.00075;0.00075;-57.5;0.535;49;29;-75;SELL
6;2012.8.1.20;0.0015;-0.00725;0.00075;-357.5;0.325;25;19;-87;SELL
7;2012.8.1.21;0.0015;-0.00625;-0.00375;-282.5;0.225;23;11;-97;WAIT
8;2012.8.1.22;0;-0.00525;-0.00475;-182.5;0.225;25;9;-93;WAIT
9;2012.8.1.23;0;-0.00425;-0.00375;-127.5;0.145;27;9;-89;WAIT
10;2012.8.2.0;0.0025;-0.00375;-0.00275;-92.5;0.205;31;15;-83;WAIT
11;2012.8.2.1;0.0035;-0.00275;-0.00175;-67.5;0.245;33;25;-81;WAIT
12;2012.8.2.2;0.0045;-0.00375;-0.00175;-72.5;0.215;31;39;-87;WAIT
13;2012.8.2.3;0.0065;-0.00225;-0.00125;-57.5;0.225;33;63;-85;WAIT
14;2012.8.2.4;0.0065;-0.00175;-0.00025;-37.5;0.295;39;67;-75;WAIT
15;2012.8.2.5;0.0065;-0.00075;0.00025;-17.5;0.275;41;79;-73;WAIT
16;2012.8.2.6;0.0065;-0.00075;0.00075;-2.5;0.295;43;87;-65;WAIT
17;2012.8.2.7;0.0065;-0.00075;0.00025;12.5;0.295;43;85;-63;WAIT
18;2012.8.2.8;0.0055;-0.00125;0.00075;17.5;0.285;41;77;-67;WAIT
19;2012.8.2.9;0.0055;-0.00125;0.00125;112.5;0.295;51;79;-45;BUY
20;2012.8.2.10;0.0045;0.00025;0.00275;177.5;0.695;55;79;-15;WAIT
21;2012.8.2.11;0.0035;0.00075;0.00375;197.5;0.765;59;79;-21;WAIT
22;2012.8.2.12;0.0035;0.00025;0.00225;132.5;0.765;53;69;-33;SELL
23;2012.8.2.13;0.0025;-0.00075;0.00375;147.5;0.735;63;73;-9;SELL
24;2012.8.2.14;0.0015;-0.00575;0.01425;72.5;0.665;37;33;-93;SELL
25;2012.8.2.15;0.0015;-0.00775;-0.00325;-192.5;0.605;39;23;-81;SELL
26;2012.8.2.16;0;-0.00825;-0.00175;-227.5;0.605;29;9;0;SELL
27;2012.8.2.17;0.0015;-0.00925;-0.00675;-222.5;0.565;27;9;-95;WAIT
28;2012.8.2.18;0;-0.00725;-0.00525;-142.5;0.555;31;5;-89;WAIT
29;2012.8.2.19;0.0025;-0.00525;-0.00425;-107.5;0.555;31;11;-89;WAIT
30;2012.8.2.20;0.0045;-0.00425;-0.00225;-77.5;0.565;35;21;-85;WAIT
31;2012.8.2.21;0.0075;-0.00325;-0.00225;-57.5;0.565;37;49;-83;WAIT
32;2012.8.2.22;0.0095;-0.00225;-0.00125;-47.5;0.585;37;69;-83;WAIT
33;2012.8.2.23;0.0105;-0.00175;-0.00125;-37.5;0.575;39;93;-81;WAIT
34;2012.8.3.0;0.0105;-0.00175;-0.00125;-37.5;0.545;37;85;-85;WAIT
35;2012.8.3.1;0.0095;-0.00175;-0.00075;-32.5;0.525;37;75;-83;WAIT
36;2012.8.3.2;0.0085;-0.00225;-0.00075;-37.5;0.515;37;53;-85;WAIT
37;2012.8.3.3;0.0085;-0.00175;-0.00075;-27.5;0.495;37;47;-85;WAIT
38;2012.8.3.4;0.0075;-0.00125;-0.00075;-2.5;0.305;37;43;-55;WAIT
39;2012.8.3.5;0.0075;-0.00125;-0.00075;32.5;0.405;37;47;-53;WAIT
40;2012.8.3.6;0.0065;-0.00075;-0.00025;32.5;0.455;37;53;-19;WAIT
41;2012.8.3.7;0.0065;-0.00075;0.00075;127.5;0.775;45;75;-1;BUY
42;2012.8.3.8;0.0065;-0.00075;0.00125;197.5;0.785;47;93;0;WAIT
43;2012.8.3.9;0.0065;0.00025;0.00225;262.5;0.815;53;97;-5;BUY
44;2012.8.3.10;0.0055;0.00125;0.00275;232.5;0.805;55;93;-9;BUY
45;2012.8.3.11;0.0045;0.00125;0.00475;232.5;0.865;63;89;-11;BUY
46;2012.8.3.12;0.0045;0.00225;0.00775;252.5;0.905;73;93;-1;WAIT
47;2012.8.3.13;0.0025;0.00425;0.00725;177.5;0.905;63;85;-25;BUY
48;2012.8.3.14;0.0015;-0.00025;0.00525;102.5;0.715;61;77;-29;BUY
49;2012.8.3.15;0.0015;0.00075;0.00925;152.5;0.775;73;75;-3;BUY
50;2012.8.3.16;0.0025;0.00575;0.00925;162.5;0.825;75;85;-3;BUY
51;2012.8.3.17;0.0035;0.00675;0.01225;172.5;0.855;79;97;-1;BUY
52;2012.8.3.18;0.0055;0.00825;0.01075;142.5;0.855;73;93;-11;WAIT
53;2012.8.3.19;0.0075;0.00675;0.00825;117.5;0.845;73;91;-11;WAIT
54;2012.8.3.20;0.0095;0.00575;0.00725;97.5;0.845;75;85;-7;WAIT
55;2012.8.3.21;0.0115;0.00525;0.00625;87.5;0.835;75;83;-5;WAIT
56;2012.8.3.22;0.0135;0.00475;0.00575;82.5;0.835;75;79;-3;WAIT
57;2012.8.3.23;0.0155;0.00475;0.00475;72.5;0.835;75;79;-3;BUY
58;2012.8.6.0;0.0165;0.00375;0.00525;72.5;0.825;75;79;-3;WAIT
59;2012.8.6.1;0.0165;0.00275;0.00875;102.5;0.835;81;79;-7;WAIT
60;2012.8.6.2;0.0155;0.00425;0.00625;92.5;0.805;73;65;-17;SELL
61;2012.8.6.3;0.0155;0.00175;0.00375;62.5;0.745;69;51;-21;WAIT
62;2012.8.6.4;0.0155;0.00225;0.00325;67.5;0.885;69;31;-23;WAIT
63;2012.8.6.5;0.0155;0.00175;0.00225;37.5;0.835;67;19;-39;WAIT
64;2012.8.6.6;0.0155;0.00125;0.00175;17.5;0.815;67;15;-47;WAIT
65;2012.8.6.7;0.0155;-0.00025;0.00175;-42.5;0.625;61;11;-87;SELL
66;2012.8.6.8;0.0145;-0.00025;0.00125;-72.5;0.605;61;9;-91;WAIT
67;2012.8.6.9;0.0135;-0.00225;-0.00025;-157.5;0.515;55;11;-89;WAIT
68;2012.8.6.10;0.0125;-0.00325;-0.00025;-157.5;0.475;55;23;-81;WAIT
69;2012.8.6.11;0.0105;-0.00125;0.00075;-102.5;0.505;57;33;-79;WAIT
70;2012.8.6.12;0.0095;-0.00225;-0.00025;-127.5;0.445;53;37;-87;WAIT
71;2012.8.6.13;0.0085;-0.00225;0.00175;-42.5;0.525;61;53;-59;BUY
72;2012.8.6.14;0.0065;0.00025;0.00225;17.5;0.515;63;71;-51;BUY
73;2012.8.6.15;0.0055;-0.00025;0.00225;42.5;0.345;65;89;-35;WAIT
74;2012.8.6.16;0.0055;-0.00025;0.00325;107.5;0.405;69;95;-1;WAIT
75;2012.8.6.17;0.0045;0.00225;0.00425;167.5;0.525;69;93;-9;WAIT
76;2012.8.6.18;0.0055;0.00125;0.00325;127.5;0.505;65;87;-21;WAIT
77;2012.8.6.19;0.0055;0.00025;0.00175;67.5;0.475;59;69;-37;WAIT
78;2012.8.6.20;0.0065;-0.00025;0.00125;42.5;0.465;59;47;-39;WAIT
79;2012.8.6.21;0.0065;0.00025;0.00225;57.5;0.535;59;31;-37;WAIT
80;2012.8.6.22;0.0065;-0.00025;0.00125;42.5;0.545;61;27;-33;WAIT
81;2012.8.6.23;0.0065;-0.00025;0.00075;32.5;0.635;59;27;-35;WAIT
82;2012.8.7.0;0.0065;-0.00025;0.00025;7.5;0.665;57;29;-43;WAIT
83;2012.8.7.1;0.0055;-0.00075;0.00025;-32.5;0.615;55;23;-51;WAIT
84;2012.8.7.2;0.0055;-0.00075;-0.00025;-57.5;0.665;55;21;-47;WAIT
85;2012.8.7.3;0.0045;-0.00025;0.00125;2.5;0.635;59;37;-51;WAIT
86;2012.8.7.4;0.0045;0.00025;0.00125;17.5;0.615;59;63;-49;WAIT
87;2012.8.7.5;0.0035;-0.00025;0.00075;-17.5;0.585;59;75;-59;WAIT
88;2012.8.7.6;0.0035;-0.00075;0.00075;-52.5;0.505;55;59;-83;WAIT
89;2012.8.7.7;0.0035;-0.00075;-0.00025;-117.5;0.385;53;39;-87;BUY
90;2012.8.7.8;0.0035;-0.00175;-0.00025;-162.5;0.365;53;31;-67;WAIT
91;2012.8.7.9;0.0025;-0.00125;0.00325;222.5;0.645;67;61;-15;WAIT
92;2012.8.7.10;0.0025;0.00025;0.00275;172.5;0.685;59;67;-37;WAIT
93;2012.8.7.11;0.0025;-0.00075;0.00125;62.5;0.585;55;65;-51;WAIT
94;2012.8.7.12;0.0025;-0.00025;0.00225;127.5;0.635;61;61;-29;WAIT
95;2012.8.7.13;0.0025;0.00075;0.00275;167.5;0.665;63;67;-15;WAIT
96;2012.8.7.14;0.0025;0.00075;0.00325;127.5;0.705;59;67;-37;WAIT
97;2012.8.7.15;0.0025;0.00075;0.00275;127.5;0.735;63;69;-17;WAIT
98;2012.8.7.16;0.0035;0.00025;0.00225;77.5;0.735;57;55;-37;WAIT
99;2012.8.7.17;0.0035;0.00025;0.00125;67.5;0.695;59;53;-31;WAIT
100;2012.8.7.18;0.0035;0.00025;0.00125;52.5;0.685;57;33;-35;WAIT
101;2012.8.7.19;0.0045;0.00025;0.00075;42.5;0.705;57;23;-33;WAIT
102;2012.8.7.20;0.0045;-0.00075;0.00075;-7.5;0.655;53;23;-43;WAIT
103;2012.8.7.21;0.0035;-0.00175;0.00025;-107.5;0.615;47;19;-67;WAIT
104;2012.8.7.22;0.0035;-0.00125;-0.00075;-147.5;0.675;47;17;-77;WAIT
105;2012.8.7.23;0.0035;-0.00175;-0.00075;-142.5;0.415;47;13;-89;WAIT
106;2012.8.8.0;0.0025;-0.00175;-0.00075;-127.5;0.405;45;13;-95;WAIT
107;2012.8.8.1;0.0015;-0.00175;-0.00075;-142.5;0.425;41;9;-99;WAIT
108;2012.8.8.2;0.0015;-0.00225;-0.00075;-107.5;0.295;45;21;-77;WAIT
109;2012.8.8.3;0;-0.00125;-0.00025;-62.5;0.225;49;49;-65;WAIT
110;2012.8.8.4;0;-0.00075;0.00025;-47.5;0.155;47;77;-69;WAIT
111;2012.8.8.5;0;-0.00075;-0.00025;-52.5;0.145;47;81;-69;WAIT
112;2012.8.8.6;0;-0.00125;0.00025;-77.5;0.145;43;61;-81;WAIT
113;2012.8.8.7;0;-0.00125;-0.00025;-62.5;0.145;47;53;-67;WAIT
114;2012.8.8.8;0;-0.00325;0.00025;-192.5;0.105;37;29;-91;WAIT
115;2012.8.8.9;0;-0.00225;-0.00075;-187.5;0.105;39;25;-85;WAIT
116;2012.8.8.10;0;-0.00225;-0.00025;-102.5;0.215;45;33;-57;WAIT
117;2012.8.8.11;0.0015;-0.00325;0.00075;-152.5;0.235;37;33;-85;SELL
118;2012.8.8.12;0.0015;-0.00375;-0.00125;-182.5;0.215;35;31;-83;WAIT
119;2012.8.8.13;0.0015;-0.00275;-0.00075;-142.5;0.225;35;17;-91;WAIT
120;2012.8.8.14;0.0025;-0.00425;-0.00175;-182.5;0.185;29;11;-93;WAIT
121;2012.8.8.15;0.0025;-0.00375;-0.00175;-142.5;0.195;35;13;-81;BUY
122;2012.8.8.16;0.0035;-0.00225;-0.00025;-77.5;0.295;41;29;-59;WAIT
123;2012.8.8.17;0.0035;-0.00075;0.00125;-17.5;0.355;45;53;-51;WAIT
124;2012.8.8.18;0.0045;-0.00025;0.00075;-7.5;0.345;45;77;-45;WAIT
125;2012.8.8.19;0.0045;-0.00125;0.00075;-37.5;0.325;41;71;-63;WAIT
126;2012.8.8.20;0.0045;-0.00175;-0.00025;-52.5;0.315;43;61;-59;WAIT
127;2012.8.8.21;0.0045;-0.00075;0.00025;-12.5;0.335;45;47;-53;WAIT
128;2012.8.8.22;0.0035;-0.00075;0.00025;22.5;0.425;47;55;-41;WAIT
129;2012.8.8.23;0.0035;-0.00025;0.00025;47.5;0.425;47;69;-41;WAIT
130;2012.8.9.0;0.0025;-0.00025;0.00075;102.5;0.415;49;89;-33;WAIT
131;2012.8.9.1;0.0025;0.00025;0.00125;122.5;0.475;51;91;-7;WAIT
132;2012.8.9.2;0.0025;0.00025;0.00075;117.5;0.525;51;93;-3;WAIT
133;2012.8.9.3;0.0025;0.00025;0.00175;132.5;0.575;53;81;-13;WAIT
134;2012.8.9.4;0.0015;0.00075;0.00125;142.5;0.755;57;83;-3;WAIT
135;2012.8.9.5;0.0015;0.00025;0.00125;107.5;0.745;53;73;-19;WAIT
136;2012.8.9.6;0;0.00025;0.00075;87.5;0.695;53;71;-15;WAIT
137;2012.8.9.7;0;-0.00075;0.00125;42.5;0.535;49;45;-39;WAIT
138;2012.8.9.8;0;-0.00075;0.00125;52.5;0.535;51;41;-27;SELL
139;2012.8.9.9;0;-0.00175;0.00075;-72.5;0.495;41;19;-81;SELL
140;2012.8.9.10;0;-0.00325;-0.00075;-207.5;0.405;35;15;-89;SELL
141;2012.8.9.11;0;-0.00275;-0.00175;-187.5;0.375;37;11;-83;WAIT
142;2012.8.9.12;0;-0.00475;-0.00125;-217.5;0.255;29;13;-91;SELL
143;2012.8.9.13;0;-0.00525;-0.00325;-182.5;0.235;29;13;-87;WAIT
144;2012.8.9.14;0.0015;-0.00475;-0.00275;-147.5;0.185;27;13;-89;WAIT
145;2012.8.9.15;0.0025;-0.00475;-0.00275;-127.5;0.145;25;17;-87;WAIT
146;2012.8.9.16;0.0035;-0.00375;-0.00125;-87.5;0.235;33;25;-77;WAIT
147;2012.8.9.17;0.0045;-0.00575;-0.00125;-117.5;0.135;25;27;-91;WAIT
148;2012.8.9.18;0.0055;-0.00475;-0.00325;-112.5;0.135;25;27;-89;WAIT
149;2012.8.9.19;0.0065;-0.00425;-0.00275;-92.5;0.145;29;25;-83;WAIT
150;2012.8.9.20;0.0075;-0.00275;-0.00175;-67.5;0.205;35;35;-77;WAIT
151;2012.8.9.21;0.0075;-0.00175;-0.00125;-47.5;0.205;35;49;-75;WAIT
152;2012.8.9.22;0.0075;-0.00125;-0.00025;-17.5;0.255;41;69;-65;WAIT
153;2012.8.9.23;0.0075;-0.00075;-0.00025;-2.5;0.285;39;83;-59;WAIT
154;2012.8.10.0;0.0075;-0.00075;-0.00025;2.5;0.325;39;91;-55;WAIT
155;2012.8.10.1;0.0075;-0.00125;-0.00025;-17.5;0.305;35;71;-65;WAIT
156;2012.8.10.2;0.0065;-0.00125;-0.00025;-2.5;0.395;39;51;-43;WAIT
157;2012.8.10.3;0.0055;-0.00125;-0.00025;-7.5;0.435;37;31;-47;WAIT
158;2012.8.10.4;0.0055;-0.00125;-0.00025;2.5;0.455;37;39;-49;WAIT
159;2012.8.10.5;0.0045;-0.00125;0.00025;-12.5;0.495;37;37;-53;WAIT
160;2012.8.10.6;0.0045;-0.00125;-0.00025;-17.5;0.385;37;37;-45;WAIT
161;2012.8.10.7;0.0045;-0.00125;-0.00025;-62.5;0.565;33;31;-57;WAIT
162;2012.8.10.8;0.0045;-0.00125;0.00025;-92.5;0.575;33;19;-67;WAIT
163;2012.8.10.9;0.0045;-0.00325;-0.00075;-272.5;0.365;27;15;-83;WAIT
164;2012.8.10.10;0.0045;-0.00225;-0.00075;-157.5;0.265;37;31;-55;WAIT
165;2012.8.10.11;0.0035;-0.00275;-0.00075;-147.5;0.195;35;39;-65;WAIT
166;2012.8.10.12;0.0045;-0.00225;-0.00075;-127.5;0.065;33;43;-77;WAIT
167;2012.8.10.13;0.0045;-0.00175;-0.00125;-122.5;0.065;31;33;-87;WAIT
168;2012.8.10.14;0.0045;-0.00275;-0.00125;-117.5;0.055;33;31;-73;BUY
169;2012.8.10.15;0.0045;-0.00375;-0.00075;-132.5;0.085;31;39;-67;WAIT
170;2012.8.10.16;0.0045;-0.00225;0.00325;87.5;0.435;57;73;-5;BUY
171;2012.8.10.17;0.0045;0.00025;0.00275;102.5;0.435;51;77;-25;WAIT
172;2012.8.10.18;0.0045;0.00025;0.00175;82.5;0.435;49;81;-29;WAIT
173;2012.8.10.19;0.0045;0.00025;0.00075;72.5;0.435;51;73;-27;WAIT
174;2012.8.10.20;0.0035;0.00025;0.00075;67.5;0.435;49;69;-31;WAIT
175;2012.8.10.21;0.0025;0.00025;0.00125;67.5;0.465;49;59;-29;WAIT
176;2012.8.10.22;0.0015;-0.00025;0.00075;42.5;0.435;49;45;-33;WAIT
177;2012.8.10.23;0.0015;-0.00025;0.00025;32.5;0.545;47;27;-37;WAIT
178;2012.8.13.0;0;-0.00025;0.00025;22.5;0.535;47;21;-39;WAIT
179;2012.8.13.1;0;-0.00125;0.00025;-32.5;0.505;41;9;-55;WAIT
180;2012.8.13.2;0;-0.00175;-0.00075;-77.5;0.475;39;5;-63;WAIT
181;2012.8.13.3;0;-0.00225;0.00075;-32.5;0.515;49;33;-39;WAIT
182;2012.8.13.4;0;-0.00025;0.00125;52.5;0.585;53;65;-25;WAIT
183;2012.8.13.5;0.0015;0.00025;0.00125;27.5;0.655;49;83;-45;WAIT
184;2012.8.13.6;0.0015;-0.00025;0.00075;32.5;0.415;51;81;-39;WAIT
185;2012.8.13.7;0.0015;-0.00025;0.00075;-22.5;0.395;47;71;-47;WAIT
186;2012.8.13.8;0.0015;-0.00125;-0.00025;-87.5;0.345;47;59;-47;WAIT
187;2012.8.13.9;0;-0.00075;0.00075;-37.5;0.415;45;41;-53;WAIT
188;2012.8.13.10;0;-0.00125;0.00075;22.5;0.415;53;51;-15;BUY
189;2012.8.13.11;0;0.00025;0.00325;222.5;0.535;59;67;-21;BUY
190;2012.8.13.12;0;0.00075;0.00425;272.5;0.635;67;89;-1;BUY
191;2012.8.13.13;0;0.00275;0.00525;242.5;0.685;71;89;-11;BUY
192;2012.8.13.14;0;0.00275;0.00475;177.5;0.695;71;95;-3;WAIT
193;2012.8.13.15;0.0015;0.00175;0.00525;152.5;0.775;75;95;-1;WAIT
194;2012.8.13.16;0.0015;0.00175;0.00475;112.5;0.825;65;89;-21;WAIT
195;2012.8.13.17;0.0035;0.00075;0.00275;67.5;0.795;59;69;-33;WAIT
196;2012.8.13.18;0.0045;0.00075;0.00175;52.5;0.775;61;39;-33;WAIT
197;2012.8.13.19;0.0055;-0.00025;0.00125;32.5;0.715;57;17;-37;WAIT
198;2012.8.13.20;0.0065;0.00025;0.00125;27.5;0.725;57;15;-41;WAIT
199;2012.8.13.21;0.0055;0.00025;0.00075;22.5;0.745;59;23;-35;WAIT
200;2012.8.13.22;0.0055;0.00025;0.00075;7.5;0.825;55;25;-43;WAIT
201;2012.8.13.23;0.0045;-0.00025;0.00025;-17.5;0.785;55;0;-41;WAIT
202;2012.8.14.0;0.0045;0.00025;0.00025;-27.5;0.805;57;37;-49;WAIT
203;2012.8.14.1;0.0035;-0.00075;0.00075;-87.5;0.685;53;29;-71;WAIT
204;2012.8.14.2;0.0035;-0.00075;0.00125;-37.5;0.625;59;49;-67;WAIT
205;2012.8.14.3;0.0035;0.00075;0.00125;42.5;0.545;61;71;-55;WAIT
206;2012.8.14.4;0.0025;0.00025;0.00125;37.5;0.545;59;89;-61;WAIT
207;2012.8.14.5;0.0025;0.00025;0.00125;62.5;0.425;59;85;-63;WAIT
208;2012.8.14.6;0.0025;0.00025;0.00175;157.5;0.485;63;87;-1;WAIT
209;2012.8.14.7;0.0025;0.00125;0.00175;192.5;0.605;65;91;-3;WAIT
210;2012.8.14.8;0.0025;0.00075;0.00225;167.5;0.675;65;87;-19;WAIT
211;2012.8.14.9;0.0025;0.00025;0.00375;187.5;0.845;69;79;-17;WAIT
212;2012.8.14.10;0.0035;0.00125;0.00325;152.5;0.845;67;71;-25;WAIT
213;2012.8.14.11;0.0035;0.00025;0.00225;67.5;0.705;59;55;-47;WAIT
214;2012.8.14.12;0.0035;-0.00025;0.00125;32.5;0.675;57;31;-53;WAIT
215;2012.8.14.13;0.0045;-0.00075;0.00025;-12.5;0.635;53;11;-61;WAIT
216;2012.8.14.14;0.0045;-0.00225;0.00125;-72.5;0.545;45;11;-87;WAIT
217;2012.8.14.15;0.0045;-0.00225;0.00075;-87.5;0.575;49;15;-79;WAIT
218;2012.8.14.16;0.0035;-0.00275;0.00025;-142.5;0.505;41;15;-91;WAIT
219;2012.8.14.17;0.0035;-0.00225;-0.00075;-137.5;0.475;45;21;-83;WAIT
220;2012.8.14.18;0.0025;-0.00175;0.00025;-87.5;0.505;47;25;-75;WAIT
221;2012.8.14.19;0.0015;-0.00175;-0.00075;-97.5;0.505;47;33;-79;WAIT
222;2012.8.14.20;0;-0.00125;-0.00025;-77.5;0.455;47;39;-79;WAIT
223;2012.8.14.21;0;-0.00125;-0.00075;-87.5;0.405;43;37;-89;WAIT
224;2012.8.14.22;0;-0.00175;-0.00075;-92.5;0.325;41;29;-95;WAIT
225;2012.8.14.23;0;-0.00125;-0.00075;-97.5;0.185;41;17;-97;WAIT
226;2012.8.15.0;0;-0.00125;-0.00075;-97.5;0.185;41;15;-93;WAIT
227;2012.8.15.1;0;-0.00125;-0.00025;-67.5;0.275;45;27;-85;WAIT
228;2012.8.15.2;0.0015;-0.00075;0.00025;-37.5;0.355;45;39;-85;WAIT
229;2012.8.15.3;0.0015;-0.00075;0.00025;-32.5;0.385;47;55;-79;WAIT
230;2012.8.15.4;0.0015;-0.00075;-0.00025;-37.5;0.445;45;53;-81;WAIT
231;2012.8.15.5;0.0015;-0.00025;-0.00025;-42.5;0.445;45;51;-79;WAIT
232;2012.8.15.6;0.0015;-0.00075;0.00025;17.5;0.615;49;49;-53;WAIT
233;2012.8.15.7;0.0015;-0.00025;0.00025;27.5;0.615;47;57;-57;WAIT
234;2012.8.15.8;0.0015;-0.00025;0.00175;182.5;0.685;51;59;-43;WAIT
235;2012.8.15.9;0.0015;-0.00075;0.00125;47.5;0.615;45;37;-81;WAIT
236;2012.8.15.10;0.0015;-0.00075;0.00075;117.5;0.615;53;39;-41;SELL
237;2012.8.15.11;0;-0.00175;0.00125;-127.5;0.525;39;25;-89;SELL
238;2012.8.15.12;0;-0.00425;-0.00075;-352.5;0.365;31;23;-85;WAIT
239;2012.8.15.13;0;-0.00375;-0.00225;-262.5;0.365;27;9;-99;WAIT
240;2012.8.15.14;0;-0.00375;-0.00175;-167.5;0.355;33;13;-81;WAIT
241;2012.8.15.15;0.0015;-0.00325;-0.00125;-122.5;0.325;33;15;-81;WAIT
242;2012.8.15.16;0.0025;-0.00375;-0.00175;-112.5;0.235;33;25;-77;WAIT
243;2012.8.15.17;0.0035;-0.00225;-0.00075;-72.5;0.305;35;37;-71;WAIT
244;2012.8.15.18;0.0035;-0.00175;-0.00075;-67.5;0.305;35;57;-75;WAIT
245;2012.8.15.19;0.0045;-0.00175;-0.00075;-57.5;0.305;35;73;-73;WAIT
246;2012.8.15.20;0.0045;-0.00125;-0.00075;-42.5;0.295;39;75;-69;WAIT
247;2012.8.15.21;0.0045;-0.00075;-0.00025;-32.5;0.315;37;73;-73;WAIT
248;2012.8.15.22;0.0045;-0.00075;-0.00025;-27.5;0.205;39;75;-67;WAIT
249;2012.8.15.23;0.0045;-0.00075;-0.00025;-22.5;0.245;39;59;-69;WAIT
250;2012.8.16.0;0.0045;-0.00075;-0.00025;-37.5;0.235;37;47;-75;WAIT
251;2012.8.16.1;0.0035;-0.00075;-0.00025;47.5;0.285;41;41;-47;WAIT
252;2012.8.16.2;0.0035;-0.00025;0.00125;262.5;0.645;51;61;-7;WAIT
253;2012.8.16.3;0.0035;0.00025;0.00125;177.5;0.665;45;67;-29;WAIT
254;2012.8.16.4;0.0035;-0.00025;0.00025;87.5;0.685;45;57;-35;WAIT
255;2012.8.16.5;0.0025;-0.00125;0.00025;-52.5;0.555;41;33;-55;WAIT
256;2012.8.16.6;0.0025;-0.00125;-0.00025;-137.5;0.625;39;21;-87;WAIT
257;2012.8.16.7;0.0025;-0.00125;-0.00025;-117.5;0.555;41;19;-75;WAIT
258;2012.8.16.8;0.0015;-0.00275;-0.00025;-232.5;0.405;33;21;-83;WAIT
259;2012.8.16.9;0.0015;-0.00225;-0.00075;-182.5;0.405;33;25;-81;WAIT
260;2012.8.16.10;0.0025;-0.00175;0.00025;-82.5;0.465;41;37;-61;WAIT
261;2012.8.16.11;0.0025;-0.00125;-0.00025;-97.5;0.435;39;47;-71;WAIT
262;2012.8.16.12;0.0025;-0.00175;0.00025;-62.5;0.455;43;65;-57;BUY
263;2012.8.16.13;0.0025;-0.00025;0.00075;-2.5;0.475;45;67;-51;BUY
264;2012.8.16.14;0.0035;-0.00075;0.00425;172.5;0.665;65;87;-5;BUY
265;2012.8.16.15;0.0035;0.00275;0.00475;212.5;0.695;67;89;-13;BUY
266;2012.8.16.16;0.0025;0.00175;0.00675;222.5;0.725;75;93;-5;BUY
267;2012.8.16.17;0.0015;0.00425;0.00525;177.5;0.725;71;89;-11;WAIT
268;2012.8.16.18;0.0015;0.00375;0.00475;132.5;0.735;71;91;-9;WAIT
269;2012.8.16.19;0.0015;0.00325;0.00475;117.5;0.815;73;89;-3;WAIT
270;2012.8.16.20;0.0025;0.00325;0.00425;97.5;0.835;69;89;-9;WAIT
271;2012.8.16.21;0.0045;0.00225;0.00275;72.5;0.805;67;75;-15;WAIT
272;2012.8.16.22;0.0055;0.00175;0.00225;62.5;0.925;67;53;-13;WAIT
273;2012.8.16.23;0.0065;0.00125;0.00175;52.5;0.905;65;19;-15;WAIT
274;2012.8.17.0;0.0065;0.00125;0.00175;47.5;0.905;65;21;-15;WAIT
275;2012.8.17.1;0.0065;0.00125;0.00175;42.5;0.905;67;23;-15;WAIT
276;2012.8.17.2;0.0065;0.00025;0.00125;27.5;0.865;65;29;-19;WAIT
277;2012.8.17.3;0.0065;0.00075;0.00125;32.5;0.865;65;43;-17;WAIT
278;2012.8.17.4;0.0055;0.00025;0.00075;-32.5;0.765;61;31;-39;WAIT
279;2012.8.17.5;0.0055;-0.00025;0.00025;-187.5;0.635;59;23;-51;WAIT
280;2012.8.17.6;0.0055;-0.00075;0.00025;-212.5;0.325;57;19;-81;WAIT
281;2012.8.17.7;0.0045;-0.00025;0.00025;-107.5;0.385;59;29;-71;WAIT
282;2012.8.17.8;0.0045;-0.00025;0.00225;117.5;0.585;69;59;-11;WAIT
283;2012.8.17.9;0.0035;-0.00075;0.00225;-22.5;0.505;53;51;-81;WAIT
284;2012.8.17.10;0.0035;-0.00075;0.00225;117.5;0.515;61;63;-17;WAIT
285;2012.8.17.11;0.0035;0.00125;0.00275;222.5;0.635;63;57;-29;WAIT
286;2012.8.17.12;0.0035;-0.00025;0.00175;77.5;0.535;57;65;-51;WAIT
287;2012.8.17.13;0.0035;-0.00125;0.00075;-87.5;0.455;49;39;-89;SELL
288;2012.8.17.14;0.0035;-0.00225;0.00075;-77.5;0.425;53;31;-61;SELL
289;2012.8.17.15;0.0035;-0.00325;0.00125;-162.5;0.375;43;21;-87;SELL
290;2012.8.17.16;0.0035;-0.00525;-0.00125;-282.5;0.305;35;17;-93;WAIT
291;2012.8.17.17;0.0035;-0.00425;-0.00225;-192.5;0.295;43;17;-75;WAIT
292;2012.8.17.18;0.0025;-0.00275;-0.00125;-112.5;0.335;45;27;-67;WAIT
293;2012.8.17.19;0;-0.00175;-0.00125;-87.5;0.355;43;37;-69;WAIT
294;2012.8.17.20;0.0015;-0.00175;-0.00075;-67.5;0.375;45;49;-65;WAIT
295;2012.8.17.21;0.0015;-0.00125;0.00125;-22.5;0.445;49;61;-51;WAIT
296;2012.8.17.22;0.0025;-0.00125;0.00025;-22.5;0.345;51;77;-49;WAIT
